Symbol,Company_Name,Industry
DCMSHRIRAM.NS,DCM Shriram Limited,Diversified
FIVESTAR.NS,Five-Star Business Finance Limited,Non Banking Financial Company (NBFC)
CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED,Microfinance Institutions
INDUSINDBK.NS,IndusInd Bank Limited,Private Sector Bank
TBOTEK.NS,TBO Tek Limited,Tour Travel Related Services
RAMCOCEM.NS,The Ramco Cements Limited,Cement & Cement Products
CESC.NS,CESC Limited,Integrated Power Utilities
MEDANTA.NS,Global Health Limited,Hospital
ESCORTS.NS,Escorts Kubota Limited,Tractors
SAMMAANCAP.NS,Sammaan Capital Limited,Housing Finance Company
NUVOCO.NS,Nuvoco Vistas Corporation Limited,Cement & Cement Products
BASF.NS,BASF India Limited,Specialty Chemicals
NH.NS,Narayana Hrudayalaya Ltd.,Hospital
COHANCE.NS,Cohance Lifesciences Limited,Pharmaceuticals
GODREJAGRO.NS,Godrej Agrovet Limited,Animal Feed
PAGEIND.NS,Page Industries Limited,Garments & Apparels
CAMPUS.NS,Campus Activewear Limited,Footwear
LEMONTREE.NS,Lemon Tree Hotels Limited,Hotels & Resorts
SUNDARMFIN.NS,Sundaram Finance Limited,Non Banking Financial Company (NBFC)
PTCIL.NS,PTC Industries Limited,Other Industrial Products
GMRAIRPORT.NS,GMR AIRPORTS LIMITED,Airport & Airport services
BALKRISIND.NS,Balkrishna Industries Limited,Tyres & Rubber Products
BIOCON.NS,Biocon Limited,Pharmaceuticals
MAHSEAMLES.NS,Maharashtra Seamless Limited,Iron & Steel Products
SBICARD.NS,SBI Cards and Payment Services Limited,Non Banking Financial Company (NBFC)
FSL.NS,Firstsource Solutions Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited,Fertilizers
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare Service Provider
CANFINHOME.NS,Can Fin Homes Limited,Housing Finance Company
APLAPOLLO.NS,APL Apollo Tubes Limited,Iron & Steel Products
KPIL.NS,Kalpataru Projects International Limited,Civil Construction
AKUMS.NS,Akums Drugs and Pharmaceuticals Limited,Pharmaceuticals
PETRONET.NS,Petronet LNG Limited,LPG/CNG/PNG/LNG Supplier
HEROMOTOCO.NS,Hero MotoCorp Limited,2/3 Wheelers
PGEL.NS,PG Electroplast Limited,Consumer Electronics
FINPIPE.NS,Finolex Industries Limited,Plastic Products - Industrial
KARURVYSYA.NS,Karur Vysya Bank Limited,Private Sector Bank
HDFCAMC.NS,HDFC Asset Management Company Limited,Asset Management Company
TRIVENI.NS,Triveni Engineering & Industries Limited,Sugar
APLLTD.NS,Alembic Pharmaceuticals Limited,Pharmaceuticals
MRF.NS,MRF Limited,Tyres & Rubber Products
OLAELEC.NS,Ola Electric Mobility Limited,2/3 Wheelers
ALKEM.NS,Alkem Laboratories Limited,Pharmaceuticals
GRAVITA.NS,Gravita India Limited,Industrial Minerals
TATACOMM.NS,Tata Communications Limited,Telecom - Cellular & Fixed line services
TRIDENT.NS,Trident Limited,Other Textile Products
MANKIND.NS,Mankind Pharma Limited,Pharmaceuticals
POONAWALLA.NS,Poonawalla Fincorp Limited,Non Banking Financial Company (NBFC)
NAVINFLUOR.NS,Navin Fluorine International Limited,Specialty Chemicals
