Date,52WH(%),52WL(%),4.5+(%),4.5-(%),10+(%),10-(%),20+(%),20-(%),50+(%),50-(%),200+(%),200-(%),4.5r,20sma,50sma
2024-11-22,0.52,0.26,3.39,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0,0
2024-11-25,1.04,0.0,4.95,1.56,83.07,16.93,83.07,16.93,83.07,16.93,83.07,16.93,3.17,319,319
2024-11-26,0.78,0.26,3.91,0.78,75.26,24.74,75.26,24.74,75.26,24.74,75.26,24.74,5.0,289,289
2024-11-27,0.78,0.0,5.71,0.52,80.52,19.22,80.52,19.22,80.52,19.22,80.52,19.22,11.0,310,310
2024-11-28,0.52,0.26,2.6,0.78,72.73,27.27,72.73,27.27,72.73,27.27,72.73,27.27,3.33,280,280
2024-11-29,0.0,0.0,2.08,0.78,77.4,22.6,77.4,22.6,77.4,22.6,77.4,22.6,2.67,298,298
2024-12-02,0.26,0.0,4.94,0.78,78.7,21.3,78.7,21.3,78.7,21.3,78.7,21.3,6.33,303,303
2024-12-03,0.26,0.0,4.94,1.04,83.9,16.1,83.9,16.1,83.9,16.1,83.9,16.1,4.75,323,323
2024-12-04,0.78,0.0,3.64,0.0,83.38,16.62,83.38,16.62,83.38,16.62,83.38,16.62,99.99,321,321
2024-12-05,0.26,0.0,3.12,1.04,80.0,20.0,80.0,20.0,80.0,20.0,80.0,20.0,3.0,308,308
2024-12-06,0.0,0.0,2.34,0.0,77.14,22.86,81.56,18.44,81.56,18.44,81.56,18.44,99.99,314,314
2024-12-09,0.26,0.0,3.38,0.78,75.06,24.94,78.44,21.56,78.44,21.56,78.44,21.56,4.33,302,302
2024-12-10,0.0,0.0,2.6,0.26,73.51,26.49,79.48,20.52,79.48,20.52,79.48,20.52,10.0,306,306
2024-12-11,0.26,0.0,1.82,0.26,72.47,27.53,80.78,19.22,80.78,19.22,80.78,19.22,7.0,311,311
2024-12-12,0.26,0.0,0.78,1.04,54.15,45.6,69.69,30.05,69.69,30.05,69.69,30.05,0.75,269,269
2024-12-13,0.0,0.0,1.55,0.26,43.01,56.99,65.03,34.97,65.03,34.97,65.03,34.97,6.0,251,251
2024-12-16,0.26,0.0,3.63,0.26,48.7,51.3,65.28,34.72,65.28,34.72,65.28,34.72,14.0,252,252
2024-12-17,0.0,0.0,1.04,0.0,37.56,62.44,55.44,44.56,55.44,44.56,55.44,44.56,99.99,214,214
2024-12-18,0.0,0.0,3.35,1.29,28.61,70.88,47.68,51.8,47.68,51.8,47.68,51.8,2.6,185,185
