Date,Open,High,Low,Close,Volume
2024-11-22,26777.061007173685,27384.501240474154,26742.245126027014,27337.751953125,6113
2024-11-25,27515.772959537997,27594.377411603575,27260.330642733796,27376.90625,4573
2024-11-26,27410.241693178203,27478.935347505187,26980.280788893167,27125.951171875,5644
2024-11-27,27125.95096790366,27273.299153903004,26796.78544918211,27118.50390625,8046
2024-11-28,27224.875612022424,27283.06517535276,26873.765704469897,27002.2265625,13006
2024-11-29,27002.224760060588,27542.697278305663,27002.224760060588,27342.583984375,11597
2024-12-02,27418.132883739523,27806.572485396093,27418.132883739523,27667.755859375,7460
2024-12-03,27712.82819003443,28103.68335219027,27585.796650528115,28050.376953125,13979
2024-12-04,28179.527663832323,28552.335358670927,27967.48095909608,28453.708984375,5870
2024-12-05,28314.64630459872,28749.686864163657,28113.498581132022,28641.099609375,12269
2024-12-06,28734.793869897367,28896.936012912294,28601.64826590093,28636.4140625,5016
2024-12-09,28636.413795138757,28897.527116093905,28491.23654546995,28711.419921875,3243
2024-12-10,28711.421461238773,28849.20174036393,28546.468844539315,28595.978515625,4616
2024-12-11,28798.850895810116,28894.223754489267,28408.58710750694,28475.703125,3263
2024-12-12,28468.50245632724,28553.56770271069,28181.253146075887,28353.40625,3076
2024-12-13,28113.44919028699,28514.808467057912,27951.94849549978,28255.224609375,7850
2024-12-16,28394.533185755055,28394.533185755055,27802.87318055363,27863.18359375,5693
2024-12-17,27861.95069022797,27978.822943565745,27566.07156785387,27610.896484375,11470
2024-12-18,27516.75802340379,28098.65362318186,27510.593875101054,27723.478515625,5681
2024-12-19,27702.175383250833,28842.246160520284,27556.258436311662,28654.7578125,20491
2024-12-20,28529.651353481047,28817.245476282584,28109.502998083568,28261.732421875,14576
2024-12-23,28210.10275001479,28467.81424488322,27972.51142141115,28166.85546875,7166
2024-12-24,28188.404050535628,28254.385480229346,27710.066134979497,28121.634765625,5768
2024-12-26,28124.296232450084,28459.477572348558,27813.86972665812,28204.18359375,13901
2024-12-27,28295.907035294607,29251.448285836832,28197.280660128017,28861.529296875,31508
2024-12-30,28749.58843689971,29622.58018424893,28747.615909391174,29393.865234375,25920
2024-12-31,29393.86562263912,29676.528433086627,29249.476221847828,29332.470703125,10979
2025-01-01,29420.443788293906,29666.81324057762,29203.319367399043,29607.6875,5346
2025-01-02,29607.638050889185,29771.407918621277,29361.072111091642,29545.75,6136
2025-01-03,29636.240202882553,29708.582265587636,28948.91259217853,29085.115234375,6842
2025-01-06,28986.488802004722,29578.00050050017,28909.167263155177,29539.19140625,12181
2025-01-07,29587.912544613228,30246.736730606615,29494.26757192808,29548.1171875,19691
2025-01-08,29588.948130886583,29785.164528678662,29056.8087669426,29201.54296875,9626
2025-01-09,29094.7799165431,29518.87331871644,29045.416646539037,29345.142578125,7682
2025-01-10,29339.373948133798,29412.307381711806,28325.69129836649,28377.5703125,7476
2025-01-13,28219.96429646724,28262.620203076898,27854.15869128836,28163.55078125,8154
2025-01-14,28163.55214887153,28305.868857201698,27783.790508118713,27847.701171875,10667
2025-01-15,27980.30337190491,28073.06225071138,27319.506640880012,27364.578125,11977
2025-01-16,27364.57823654085,27566.072697654447,26730.16405898213,26923.126953125,12359
2025-01-17,27063.078177729436,27717.859087850044,26923.12696180616,27546.05078125,15194
2025-01-20,27546.0500834749,27726.833000652285,27044.436721921968,27301.8515625,8618
2025-01-21,27368.81814783156,27753.559238589198,27214.12306907326,27251.84765625,9128
2025-01-22,27289.917165464718,27467.44463527981,27047.346373755347,27392.931640625,6685
2025-01-23,27418.131343230827,27530.51532330802,27148.486457639214,27467.248046875,4584
2025-01-24,27527.60687387815,27575.785471664596,26848.071166232345,26907.591796875,5536
2025-01-27,26679.51912361484,26981.710723927074,26109.360431125704,26153.890625,9110
2025-01-28,26153.841095672888,26263.31637498715,25120.33489786033,25345.056640625,20087
2025-01-29,25006.71832933074,25522.534290136893,24977.130415708973,25151.55078125,27004
2025-01-30,25302.25175245199,25840.110304387275,25203.625377244403,25770.48046875,7557
2025-01-31,25581.215584897243,25981.09544508315,25581.215584897243,25813.77734375,6906
2025-02-01,25889.37355352605,25963.34333534671,25389.3879121248,25536.439453125,19350
2025-02-03,25536.440071681867,25694.093951895135,25406.20509511284,25620.765625,8122
2025-02-04,25642.75951054629,25937.652374690413,25595.567174904914,25764.46484375,9729
2025-02-05,25938.736725636518,27531.552688066287,25668.55054079431,27420.203125,48840
2025-02-06,27614.20264949078,29035.555132121837,27543.338057001296,28681.634765625,93624
2025-02-07,28581.924219698056,29451.710628744495,28581.874135990696,29390.265625,32928
2025-02-10,28706.19302849782,29439.97326670308,28706.19302849782,29275.662109375,11735
2025-02-11,29275.662560798148,29292.034154224384,28620.438606314707,28728.779296875,8385
2025-02-12,28591.78530351481,28898.46323738151,27862.936412887095,28384.669921875,12096
2025-02-13,28108.56709567765,28935.695652608592,27883.993682930482,27969.50390625,8028
2025-02-14,28109.30635291422,28259.118273884014,27201.991870123653,27457.3359375,15905
2025-02-17,27538.30839037995,28256.40664899788,27171.468355253506,28177.0625,13719
2025-02-18,27911.26425407282,29079.098780589076,27911.26425407282,28922.677734375,24856
2025-02-19,28266.318438133512,29414.27933356283,28255.66601935497,29312.892578125,21240
2025-02-20,29094.77975184598,29397.217906966387,28931.00989055477,29025.396484375,5736
2025-02-21,29025.39650378937,29170.475511898214,28330.425387484294,28544.39453125,18419
2025-02-24,28355.08310059306,29439.97323661575,28146.4883153487,29403.974609375,35520
2025-02-25,29094.830219611224,30151.216919218696,29094.830219611224,29780.7265625,43438
2025-02-27,29587.912216845354,30025.813317654665,28996.153972508448,29552.16015625,33985
2025-02-28,29193.407748191767,30228.984712232355,28715.069817182546,29978.12890625,17580
2025-03-03,30189.729228044656,31133.387134505636,29317.922175281088,30755.205078125,30976
2025-03-04,30920.354550278542,31313.87378301629,30152.64646887124,31106.66015625,25847
2025-03-05,31106.660877810657,31460.777726523964,30430.62522494755,31016.12109375,20717
2025-03-06,31067.308636063717,31139.55245693964,30238.15745831756,30557.55859375,15991
2025-03-07,30564.314062324444,31163.765948915316,30209.900563805208,30345.66015625,12123
2025-03-10,30345.659216931726,30672.752043271226,29711.194986339746,30208.86328125,11926
2025-03-11,30199.493608461067,30676.550529725024,29976.796414338576,30077.591796875,9378
2025-03-12,30100.769686948457,30258.52180343604,29149.568382611917,29386.56640625,11266
2025-03-13,29390.66076692739,29699.164849120298,29150.55561920072,29190.44921875,5268
2025-03-17,29291.935824372205,29878.8610105733,29160.41793546876,29761.7421875,5725
2025-03-18,29761.7421875,29761.7421875,29761.7421875,29761.7421875,0
2025-03-19,29587.911732541277,30121.825214495715,29303.966021022054,29932.01953125,12242
2025-03-20,29932.020619196664,30317.599665754104,29637.22599599387,29764.798828125,7787
2025-03-21,29873.929231367372,30080.058356800047,29633.824089988397,29876.0,7752
2025-03-24,29883.84218199978,30755.40270115981,29834.47891001192,30645.484375,9503
