Date,Open,High,Low,Close,Volume
2024-11-22,123468.060116315,124547.16197085418,122345.92429572434,124401.59375,6464
2024-11-25,125802.40917159758,126002.09553536202,123805.54553395318,124297.125,14605
2024-11-26,124504.43947686479,125552.49640705917,123805.58405193932,123978.46875,4556
2024-11-27,123955.31342795008,125103.46324701431,122917.19391819002,124338.9140625,5246
2024-11-28,124352.68142151945,124494.41193288786,123264.43758205583,123468.421875,6135
2024-11-29,122807.1086589298,125235.3961455598,122510.22340977663,125054.875,8271
2024-12-02,124903.8129759092,125244.13000080964,124066.12873061113,125162.7578125,5110
2024-12-03,125303.18805993398,125699.16766288858,124698.63761873645,125388.1015625,5200
2024-12-04,125602.7113215144,127000.51574003682,125128.55765416662,126642.4765625,7926
2024-12-05,126700.99317268463,131004.23415435737,126367.56375888934,130556.4375,13817
2024-12-06,130694.71025963812,131992.67147688434,130211.6721205805,130430.671875,7588
2024-12-09,131034.17933738408,132963.64864224155,130595.41539657622,131944.15625,7413
2024-12-10,132891.2591679831,132910.52577967927,131440.7875169216,132250.515625,6593
2024-12-11,131893.84050420736,132591.744339246,131644.48215971392,132309.59375,3350
2024-12-12,132392.0307200355,132573.4956641031,131449.1056728093,131665.578125,3243
2024-12-13,131792.999600331,133290.64732306203,130694.7714051529,133026.3125,5396
2024-12-16,133031.29316960296,133233.5223961971,132092.5177364833,132322.65625,2755
2024-12-17,132322.6568227388,132322.7036242263,130459.18539586115,130771.1953125,4757
2024-12-18,130794.56114986204,131293.12181126798,129895.97256180955,130206.78125,3584
2024-12-19,128797.69718464899,129899.91904743812,128685.87282740341,129639.4765625,3035
2024-12-20,129639.47377421711,130455.19250550876,127356.06038564429,127857.0703125,9524
2024-12-23,127859.17078206874,130295.34426878004,127859.17078206874,130141.484375,4229
2024-12-24,130974.27360939539,130974.27360939539,129746.20258835898,130138.7890625,2554
2024-12-26,129686.2954204616,131293.7704811048,129686.2954204616,130998.4375,5181
2024-12-27,130794.5560056645,132466.88234394448,130724.66578489813,131347.484375,4886
2024-12-30,130749.62100825539,131666.77411178753,129296.90290992381,130936.078125,10148
2024-12-31,130784.57585345986,131193.93287384248,129348.83098684961,130429.984375,3714
2025-01-01,129796.12843914374,130584.14070353292,128797.69668191955,129171.609375,2343
2025-01-02,129496.60157650564,129635.43039510497,127599.5811987465,129009.1640625,7133
2025-01-03,129097.22929444059,129596.44518498368,124929.52543224169,126164.3359375,8718
2025-01-06,126601.14930966773,126720.21229906188,122118.19063143108,122677.265625,7675
2025-01-07,123256.39674641758,124035.17349378255,120510.81089931467,121032.0390625,8586
2025-01-08,121807.5743263944,121808.52595666128,118814.37732686708,119681.3125,7672
2025-01-09,120201.19545153782,120560.48266806414,118553.98591065228,118699.203125,5782
2025-01-10,118144.42975367497,118912.92579679798,116816.56231893954,116920.8984375,5619
2025-01-13,116816.52227393354,116816.52227393354,112523.26547241291,112826.5859375,9530
2025-01-14,112826.58439636088,114520.12753675532,112475.48741370524,114034.2890625,8640
2025-01-15,115019.34131159884,115019.34131159884,113576.10817040164,114047.8671875,5385
2025-01-16,114619.96462985879,115119.2273051704,113959.04961440475,114284.09375,4528
2025-01-17,114220.55007236204,114359.52709750009,113123.42173893096,113769.953125,3965
2025-01-20,113769.94899573651,113865.40063152756,111924.19969261264,113608.15625,5911
2025-01-21,113611.54846433566,115113.98543676772,111736.54044540001,111921.453125,6999
2025-01-22,112822.78860277942,112826.18171070545,110352.27062195544,111424.8359375,5531
2025-01-23,111225.29804254539,112023.99664890257,110376.63104670908,111564.265625,7377
2025-01-24,111824.34785314275,112491.09740711813,110837.35133868617,111309.703125,4615
2025-01-27,111304.17443110394,111393.73688028284,109927.33703087167,111081.9765625,4370
2025-01-28,110902.75533281617,112915.49231290129,110902.75533281617,112706.671875,9345
2025-01-29,112173.80452739206,112623.49661717904,111425.02753363633,112158.78125,5682
2025-01-30,112218.69278172817,113322.00669687451,111869.68627390615,112445.8828125,7858
2025-01-31,111624.670676303,114426.51980050134,111624.670676303,113454.296875,6999
2025-02-01,113454.30150473313,114320.39428967558,112039.22723480185,114004.390625,4218
2025-02-03,113921.06589648363,114810.0211902838,113222.16365171992,113614.84375,4291
2025-02-04,113821.2236268392,114827.04224820777,112933.6177689071,114754.4609375,5329
2025-02-05,114752.76226750217,115238.95175345088,114145.81713528406,114780.46875,5231
2025-02-06,115019.34373955872,115218.92869698767,109827.49836242587,113949.921875,24120
2025-02-07,112273.65103768941,115011.24951125687,112124.08908063929,112698.0859375,9034
2025-02-10,112822.7954086484,113215.53012422015,110586.3549383224,110862.078125,6609
2025-02-11,111283.20043237475,111354.83790685862,108249.2161036242,108545.953125,7514
2025-02-12,108545.9612165354,110793.47794254021,106168.24274693051,109222.59375,11043
2025-02-13,109827.49397587618,110206.89804597465,108868.50026711408,109594.859375,5402
2025-02-14,109518.98406404839,110428.33070849748,108353.38444628748,109306.1640625,4673
2025-02-17,109031.73151890274,110201.32492493904,107833.58062309063,109814.5234375,5051
2025-02-18,109432.11323412794,109830.4516028482,108532.5016062783,108852.4609375,3139
2025-02-19,108632.34387043183,109730.64881765126,108102.26352463427,109401.859375,3428
2025-02-20,109580.87672647698,110229.8750852215,108712.81802027307,109769.2890625,3751
2025-02-21,109730.6516969974,110200.92591855596,108618.36829399053,109094.9296875,5319
2025-02-24,109091.63713800738,109331.26731293985,107982.34911988249,108674.28125,4368
2025-02-25,108532.49936270715,109076.61274533611,106835.11896789022,107038.7578125,4923
2025-02-27,107233.50392574373,107713.61452188564,105088.2678457527,105560.484375,8469
2025-02-28,105317.46120244364,105486.9496271603,103664.11441208913,105211.328125,8766
2025-03-03,105337.42937047312,106027.2163626089,103864.70227737882,105008.1875,4599
2025-03-04,104738.35996506349,105008.19353780475,102193.28771004968,102501.2109375,13881
2025-03-05,102187.8939676231,105799.21901120305,101966.68068079265,105642.4609375,6770
2025-03-06,106830.6308429432,108083.19778634243,106335.94116069621,107629.1953125,5969
2025-03-07,107334.34695056354,108482.57484817422,106836.61511842534,107037.7578125,4698
2025-03-10,107672.83288134876,108031.23290212383,106011.1472933631,106486.265625,5348
2025-03-11,106335.88878728167,106695.28724238623,105413.35942817687,106370.1328125,3772
2025-03-12,106835.11813407076,107310.13502614819,106145.18293191522,107098.9609375,3589
2025-03-13,107098.9657297053,107098.9657297053,104638.51291062134,104879.7421875,9096
2025-03-17,105037.89513378537,106276.68643355637,105037.89513378537,105248.3671875,3890
2025-03-18,105248.3671875,105248.3671875,105248.3671875,105248.3671875,0
2025-03-19,107833.28365620428,109929.34567165676,107833.28365620428,109753.4140625,6057
2025-03-20,110329.72579933736,111278.26190349457,109991.39638777808,110936.6875,5687
2025-03-21,111268.2761478381,112626.13364838202,110871.34187406558,111877.484375,8367
2025-03-24,112815.893048431,114123.8744617724,112477.71183305646,113845.1015625,5731
2025-03-25,115746.36309491903,115821.24752219631,113334.93632782823,114088.421875,8037
2025-03-26,113950.6359666507,115322.01946215959,113724.58639941626,114145.0390625,5979
