Date,Open,High,Low,Close,Volume
2024-11-22,1638.1144659583963,1650.0008087254291,1596.212745311508,1629.1748046875,441917
2024-11-25,1663.0857801612362,1747.9380659386156,1643.108773792933,1727.9610595703125,1525736
2024-11-26,1742.29464018041,1752.9822896988942,1698.0955140726173,1704.1884765625,256692
2024-11-27,1652.0983612034772,1672.4249399919042,1618.1374517228737,1627.5765380859375,1327672
2024-11-28,1642.1099208973005,1688.3067480514978,1631.1725586998086,1669.6282958984375,546347
2024-11-29,1658.091429925482,1666.981221616497,1626.6276467672576,1648.65234375,999199
2024-12-02,1632.820544399151,1733.0052787373372,1614.0422318278747,1716.2745361328125,1253750
2024-12-03,1731.456959001248,1751.833528980465,1713.0282202146566,1722.167724609375,550710
2024-12-04,1717.2233450990648,1777.254344208678,1709.582238034432,1768.514404296875,753423
2024-12-05,1777.9534595317907,1777.9534595317907,1716.6240292945329,1732.00634765625,378500
2024-12-06,1745.8904014053253,1754.6303412181976,1723.1165666066559,1736.151611328125,313886
2024-12-09,1736.4512179956898,1762.7210290938804,1730.0086824709454,1740.0970458984375,307698
2024-12-10,1752.9822530476783,1760.9230640544547,1720.6694706609694,1748.4874267578125,393134
2024-12-11,1749.2365871770778,1755.9788266993878,1723.7659045372402,1749.8858642578125,279628
2024-12-12,1741.9949427714369,1775.3065762647018,1733.0052899704374,1739.298095703125,664800
2024-12-13,1736.0018086706411,1766.916176456972,1708.034000475717,1752.6326904296875,781498
2024-12-16,1762.1716070048685,1835.2875203186495,1757.976484620374,1828.6451416015625,2188201
2024-12-17,1828.8948238936307,1897.8154917519926,1828.6451113289265,1852.2679443359375,2017891
2024-12-18,1857.8614740401215,1893.6203619361045,1824.0004260143653,1885.8792724609375,1237817
2024-12-19,1851.8183963846313,1887.8269971390846,1841.8298937542659,1861.607177734375,652028
2024-12-20,1866.8012468025158,1876.3903073671802,1757.9765537928392,1792.4368896484375,2860828
2024-12-23,1775.706079067312,1777.5040583370178,1723.6660040470854,1753.0322265625,833331
2024-12-24,1760.8732175534285,1784.9454853878303,1735.0029704077567,1749.8858642578125,612341
2024-12-26,1742.9937799052398,1759.524801202976,1696.4972494973847,1749.7860107421875,481456
2024-12-27,1742.9937303573022,1760.473610174639,1728.3106800827254,1750.485107421875,235400
2024-12-30,1749.8858296565156,1772.0602570972158,1650.1006623134328,1673.07421875,953245
2024-12-31,1676.0707637422058,1706.036272033187,1663.684995929274,1692.0523681640625,535023
2025-01-01,1686.358972938017,1692.0023794641377,1643.6081322722287,1651.64892578125,457902
2025-01-02,1664.4841059233395,1666.3319545275315,1630.1736237077912,1660.53857421875,434737
2025-01-03,1660.5386483425464,1680.0662206662737,1644.8067559671042,1654.3458251953125,320490
2025-01-06,1658.1414619390032,1668.0799734880984,1576.3854686884426,1593.1162109375,819534
2025-01-07,1588.1719125025381,1609.8469143603045,1573.1891586110048,1581.62939453125,787790
2025-01-08,1575.7362918615618,1583.1276863139533,1543.3235274492604,1566.7965087890625,525611
2025-01-09,1568.194927331553,1569.5433508130106,1513.8075787830273,1519.5009765625,368327
2025-01-10,1530.238651383176,1537.2306034456317,1483.9419646127658,1490.6842041015625,557750
2025-01-13,1448.4327557427591,1468.3099005511797,1406.4810442984397,1425.009765625,1025557
2025-01-14,1424.360452403877,1449.481560505127,1412.274388799626,1424.66015625,943578
2025-01-15,1438.344467526718,1449.9311069069113,1405.3324155243422,1437.6951904296875,423470
2025-01-16,1448.3329574020615,1495.2789222281974,1438.394445535325,1448.18310546875,322369
2025-01-17,1450.3305974613156,1482.2938062207936,1437.5452651855383,1470.50732421875,570227
