Date,Open,High,Low,Close,Volume
2024-11-22,1180.0,1233.4000244140625,1169.5999755859375,1233.4000244140625,573495
2024-11-25,1295.050048828125,1295.050048828125,1270.0,1295.050048828125,442226
2024-11-26,1330.0,1359.0,1273.050048828125,1327.550048828125,557658
2024-11-27,1342.0,1353.5999755859375,1323.050048828125,1344.449951171875,325111
2024-11-28,1355.5,1390.0,1340.0,1356.050048828125,321626
2024-11-29,1369.0,1418.0,1345.0,1404.25,622435
2024-12-02,1420.449951171875,1466.800048828125,1384.9000244140625,1427.75,524084
2024-12-03,1434.949951171875,1459.0,1390.0,1403.5999755859375,361269
2024-12-04,1409.8499755859375,1446.5999755859375,1401.050048828125,1438.300048828125,236682
2024-12-05,1442.0,1466.949951171875,1422.300048828125,1433.5999755859375,267277
2024-12-06,1443.9000244140625,1460.3499755859375,1382.0,1389.25,482906
2024-12-09,1389.25,1432.0,1349.0,1395.75,527005
2024-12-10,1399.0,1419.9000244140625,1390.0,1399.050048828125,176589
2024-12-11,1409.9000244140625,1458.0,1394.0,1427.050048828125,308051
2024-12-12,1439.0,1443.0,1382.0,1388.199951171875,273699
2024-12-13,1388.0,1412.050048828125,1347.1500244140625,1396.949951171875,456475
2024-12-16,1422.0,1536.5999755859375,1422.0,1531.0999755859375,2802488
2024-12-17,1521.300048828125,1529.3499755859375,1475.25,1482.050048828125,635494
2024-12-18,1475.300048828125,1494.6500244140625,1433.3499755859375,1445.8499755859375,437143
2024-12-19,1405.3499755859375,1486.800048828125,1405.3499755859375,1474.449951171875,379272
2024-12-20,1474.4000244140625,1495.199951171875,1427.0,1454.3499755859375,467026
2024-12-23,1469.75,1478.6500244140625,1415.0,1439.199951171875,282266
2024-12-24,1444.800048828125,1504.6500244140625,1439.25,1490.199951171875,386459
2024-12-26,1496.050048828125,1500.0,1450.0,1460.1500244140625,196020
2024-12-27,1466.0,1498.800048828125,1444.4000244140625,1478.050048828125,226905
2024-12-30,1485.5,1496.9000244140625,1405.0,1419.5999755859375,287835
2024-12-31,1424.4000244140625,1444.300048828125,1392.800048828125,1416.8499755859375,254043
2025-01-01,1416.8499755859375,1472.0,1414.4000244140625,1455.699951171875,253775
2025-01-02,1464.4000244140625,1466.050048828125,1438.3499755859375,1446.449951171875,150205
2025-01-03,1515.0,1582.949951171875,1510.050048828125,1519.199951171875,1366575
2025-01-06,1530.050048828125,1534.800048828125,1444.75,1465.6500244140625,525423
2025-01-07,1471.550048828125,1498.0,1445.3499755859375,1483.300048828125,323604
2025-01-08,1489.0,1492.800048828125,1440.0,1457.75,237268
2025-01-09,1457.800048828125,1466.199951171875,1434.449951171875,1443.050048828125,227349
2025-01-10,1435.0,1444.4000244140625,1380.0,1388.1500244140625,379283
2025-01-13,1380.0,1442.0,1311.050048828125,1318.800048828125,946768
2025-01-14,1325.449951171875,1373.6500244140625,1310.0,1367.0,432876
2025-01-15,1367.0,1380.8499755859375,1331.300048828125,1337.449951171875,248627
2025-01-16,1350.050048828125,1385.800048828125,1350.050048828125,1368.25,180589
2025-01-17,1370.0,1410.0,1356.699951171875,1404.550048828125,256303
2025-01-20,1410.0,1430.0,1385.0,1392.5,215323
2025-01-21,1392.050048828125,1392.8499755859375,1325.050048828125,1339.5999755859375,217418
2025-01-22,1374.0,1374.0,1236.0,1300.0999755859375,741107
2025-01-23,1297.0,1430.0999755859375,1280.4000244140625,1430.0999755859375,597393
2025-01-24,1430.0999755859375,1443.0999755859375,1353.0999755859375,1376.050048828125,476056
2025-01-27,1351.0,1351.0,1246.0,1275.300048828125,662198
2025-01-28,1278.0,1311.050048828125,1165.0999755859375,1276.0,1064273
2025-01-29,1278.3499755859375,1346.0,1276.199951171875,1325.449951171875,291623
2025-01-30,1326.0,1349.4000244140625,1278.25,1288.0999755859375,339744
2025-01-31,1414.4000244140625,1416.9000244140625,1353.25,1416.9000244140625,1764814
2025-02-01,1490.0,1558.550048828125,1441.0,1558.550048828125,1616248
2025-02-03,1558.449951171875,1632.0,1523.8499755859375,1572.75,1445203
2025-02-04,1590.0,1644.1500244140625,1574.949951171875,1630.4000244140625,737224
2025-02-05,1633.0,1670.0,1616.8499755859375,1652.5999755859375,512650
2025-02-06,1650.0,1679.9000244140625,1621.0,1651.0999755859375,466476
2025-02-07,1649.0,1675.9000244140625,1590.050048828125,1599.3499755859375,654495
2025-02-10,1607.0,1608.75,1519.4000244140625,1519.4000244140625,746183
2025-02-11,1519.5,1529.949951171875,1443.449951171875,1443.449951171875,297493
2025-02-12,1390.0,1515.5999755859375,1371.300048828125,1512.0999755859375,933637
2025-02-13,1519.699951171875,1530.0,1436.5,1436.5,307913
2025-02-14,1405.0,1428.800048828125,1364.699951171875,1385.1500244140625,548608
2025-02-17,1390.0,1433.0,1352.5999755859375,1410.25,680371
2025-02-18,1410.25,1418.6500244140625,1342.050048828125,1356.9000244140625,297585
2025-02-19,1325.0999755859375,1405.9000244140625,1313.0,1366.0999755859375,276018
2025-02-20,1378.0,1400.0,1352.0999755859375,1385.1500244140625,228810
2025-02-21,1392.0,1404.949951171875,1315.9000244140625,1316.550048828125,346082
2025-02-24,1271.050048828125,1311.9000244140625,1255.6500244140625,1268.199951171875,350051
2025-02-25,1270.050048828125,1276.4000244140625,1222.0,1229.949951171875,278858
2025-02-27,1234.0,1243.550048828125,1168.449951171875,1168.449951171875,382252
2025-02-28,1150.050048828125,1186.699951171875,1110.050048828125,1155.5,1139231
2025-03-03,1178.0,1213.25,1141.449951171875,1200.0999755859375,646687
2025-03-04,1199.0,1260.0,1165.050048828125,1223.550048828125,413946
2025-03-05,1230.0,1284.699951171875,1227.050048828125,1284.699951171875,233245
2025-03-06,1308.0,1348.9000244140625,1291.0,1330.050048828125,563480
2025-03-07,1333.0,1344.0,1300.0,1319.6500244140625,251849
2025-03-10,1320.199951171875,1349.0,1253.699951171875,1259.699951171875,288743
2025-03-11,1260.0,1299.9000244140625,1245.0,1289.0999755859375,190732
2025-03-12,1291.949951171875,1322.5,1281.0,1313.050048828125,188266
2025-03-13,1315.0,1326.800048828125,1275.0,1292.050048828125,183086
2025-03-17,1300.0,1307.0,1285.6500244140625,1289.800048828125,154376
2025-03-18,1289.800048828125,1289.800048828125,1289.800048828125,1289.800048828125,0
2025-03-19,1378.0,1421.949951171875,1377.949951171875,1421.949951171875,182363
2025-03-20,1452.0,1493.0,1440.0,1470.25,1082371
2025-03-21,1490.0,1528.949951171875,1470.0,1518.800048828125,670587
2025-03-24,1534.0,1536.800048828125,1470.050048828125,1477.949951171875,245038
2025-03-25,1486.8499755859375,1486.9000244140625,1406.75,1426.5999755859375,271062
2025-03-26,1425.800048828125,1457.8499755859375,1408.5999755859375,1417.550048828125,168184
2025-03-27,1410.0,1434.9000244140625,1378.800048828125,1409.199951171875,695650
2025-03-28,1430.0,1469.9000244140625,1406.0,1424.4000244140625,376528
2025-04-01,1458.0,1475.75,1425.0999755859375,1447.9000244140625,615739
2025-04-02,1461.75,1463.050048828125,1420.0999755859375,1438.3499755859375,264857
2025-04-03,1480.0,1510.25,1378.75,1418.699951171875,1383153
2025-04-04,1424.699951171875,1427.949951171875,1347.800048828125,1347.800048828125,590103
2025-04-07,1213.050048828125,1235.0,1213.050048828125,1213.050048828125,1183892
2025-04-08,1238.8499755859375,1279.9000244140625,1182.0,1264.050048828125,970506
2025-04-09,1240.050048828125,1246.949951171875,1154.4000244140625,1200.199951171875,858006
2025-04-11,1250.0,1320.199951171875,1221.800048828125,1319.1500244140625,900477
2025-04-15,1351.0,1410.0,1329.0,1402.300048828125,485653
2025-04-16,1409.5999755859375,1419.800048828125,1362.300048828125,1392.4000244140625,396722
2025-04-17,1402.0,1426.0,1383.0,1413.800048828125,309368
2025-04-21,1440.0,1440.0,1385.199951171875,1401.4000244140625,264599
2025-04-22,1401.0,1428.0,1388.9000244140625,1411.0999755859375,194469
